timestamp	company	status
2026-07-21T03:15:02.986Z	Maple	reachable
2026-07-21T03:15:02.986Z	Hims & Hers	reachable
2026-07-21T03:15:02.986Z	Deel	empty
2026-07-21T03:15:02.986Z	Lattice	reachable
2026-07-21T03:15:02.986Z	Leapsome	reachable
2026-07-21T03:15:02.986Z	Workday	reachable
2026-07-21T03:15:02.986Z	Hootsuite	reachable
2026-07-21T03:15:02.986Z	Clio	reachable
2026-07-21T03:15:02.986Z	Benevity	reachable
2026-07-21T03:15:02.986Z	Nuvei	empty
2026-07-21T03:15:02.986Z	Ada	reachable
2026-07-21T03:15:02.986Z	Cohere	reachable
2026-07-21T03:15:02.986Z	Later	reachable
2026-07-21T03:15:02.986Z	Faire	reachable
2026-07-21T03:15:02.986Z	Wealthsimple	empty
2026-07-21T03:15:02.986Z	TouchBistro	reachable
2026-07-21T03:15:02.986Z	Anthropic	reachable
2026-07-21T03:15:02.986Z	Vercel	reachable
2026-07-21T03:15:02.986Z	Intercom	reachable
2026-07-21T03:15:02.986Z	Figma	reachable
2026-07-21T03:15:02.986Z	Linear	reachable
2026-07-21T03:15:02.986Z	Notion	reachable
2026-07-21T03:15:02.986Z	Loom	empty
2026-07-21T03:15:02.986Z	Zapier	reachable
2026-07-21T03:15:02.986Z	Airtable	reachable
2026-07-21T03:15:02.986Z	Temporal	reachable
2026-07-21T03:15:02.986Z	Glean	reachable
2026-07-21T03:15:02.986Z	Hightouch	reachable
2026-07-21T03:15:02.986Z	1Password	reachable
2026-07-21T03:15:02.986Z	Tailscale	reachable
2026-07-21T03:15:02.986Z	D2L	reachable
2026-07-21T03:15:02.986Z	PointClickCare	reachable
2026-07-21T03:15:02.986Z	ApplyBoard	reachable
2026-07-21T03:15:02.986Z	Miovision	reachable
2026-07-21T03:15:02.986Z	GitLab	reachable
2026-07-21T03:15:02.986Z	PagerDuty	reachable
2026-07-21T03:15:02.986Z	Grafana Labs	reachable
2026-07-21T03:15:02.986Z	Sourcegraph	reachable
2026-07-21T03:15:02.986Z	Stripe	reachable
2026-07-21T03:15:02.986Z	Cloudflare	reachable
2026-07-21T03:15:02.986Z	MongoDB	reachable
2026-07-21T03:15:02.986Z	Datadog	reachable
2026-07-21T03:15:02.986Z	Brex	reachable
2026-07-21T03:15:02.986Z	Plaid	reachable
2026-07-21T03:15:02.986Z	Miro	reachable
2026-07-21T03:15:02.986Z	Postman	reachable
2026-07-21T03:15:02.986Z	Gusto	reachable
2026-07-21T03:15:02.986Z	Elastic	reachable
2026-07-21T03:15:02.986Z	Calendly	reachable
2026-07-21T03:15:02.986Z	Descript	reachable
2026-07-21T14:46:30.594Z	CrowdStrike	reachable
2026-07-21T14:46:30.594Z	Wiz	empty
2026-07-21T14:46:30.594Z	Snyk	empty
2026-07-21T14:46:30.594Z	Tenable	reachable
2026-07-21T14:46:30.594Z	CoreWeave	reachable
2026-07-21T14:46:30.594Z	Veeva Systems	reachable
2026-07-21T14:46:30.594Z	League	reachable
2026-07-21T14:46:30.594Z	Maple	reachable
2026-07-21T14:46:30.594Z	Hims & Hers	reachable
2026-07-21T14:46:30.594Z	Deel	empty
2026-07-21T14:46:30.594Z	Lattice	reachable
2026-07-21T14:46:30.594Z	Leapsome	reachable
2026-07-21T14:46:30.594Z	Workday	reachable
2026-07-21T14:46:30.594Z	Hootsuite	reachable
2026-07-21T14:46:30.594Z	Clio	reachable
2026-07-21T14:46:30.594Z	Benevity	reachable
2026-07-21T14:46:30.594Z	Nuvei	empty
2026-07-21T14:46:30.594Z	Ada	reachable
2026-07-21T14:46:30.594Z	Cohere	reachable
2026-07-21T14:46:30.594Z	Later	reachable
2026-07-21T14:46:30.594Z	Faire	reachable
2026-07-21T14:46:30.594Z	Wealthsimple	empty
2026-07-21T14:46:30.594Z	TouchBistro	reachable
2026-07-21T14:46:30.594Z	Anthropic	reachable
2026-07-21T14:46:30.594Z	Vercel	network
